"Name","Runtime","Notes","Tags","dropout","lr_backbone","lr_head","freeze_resnet","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"resilient-sweep-25","361","-","","0.4281296270118441","0.00027633135433275367","0.0007525866470282737","false","0.6159380165093965","1","0.6170212765957447","0.9550980677207312","0.6159380165093965","0.6186267845003399","0.8527689006017602","0.6180767026382247"
"volcanic-sweep-24","354","-","","0.4045177921267879","0.0002670862621168303","0.001591762746261119","false","0.5661116080610906","1","0.5718085106382979","0.9475890199343364","0.5661116080610906","0.6091094493541809","0.857135428034741","0.6084381049197488"
"mild-sweep-23","357","-","","0.4260264407933701","0.0003740061514712005","0.0010494412302691932","false","0.5721941539798366","1","0.5718085106382979","1.0079493174950285","0.5721941539798366","0.6186267845003399","0.8382651767005092","0.6182639627677852"
"happy-sweep-22","354","-","","0.4529659903022228","0.00019040606439232777","0.001005526293391924","false","0.5700515841476149","1","0.574468085106383","0.9432067523399988","0.5700515841476149","0.5968728755948335","0.8890578280324521","0.5957428023135511"
"playful-sweep-21","357","-","","0.4680542988338804","0.0008282059293496192","0.0006847346920662837","false","0.5373129060141802","1","0.5372340425531915","1.0879932989676793","0.5373129060141802","0.5955132562882393","0.8951823400414508","0.5961110828169652"
"dazzling-sweep-20","747","-","","0.41562633407380234","0.0007161427896433681","0.0018540526006535836","false","0.5614358777649917","9","0.5585106382978723","2.002758577466011","0.5614358777649917","0.9354180829367778","0.17874606002284132","0.9355406092190623"
"dry-sweep-19","354","-","","0.3165466686128323","0.00015228057429950435","0.0006033527944351358","false","0.5869100315229745","1","0.5851063829787234","0.9549127320448556","0.5869100315229745","0.6274643099932019","0.8475167051605557","0.6264177686261637"
"sunny-sweep-18","377","-","","0.4137729459653777","0.0002808296500429851","0.0015332373202610954","false","0.5427238777989412","1","0.5478723404255319","0.955426757534345","0.5427238777989412","0.6057104010876955","0.8620723537776781","0.605817223099162"
"sandy-sweep-17","1032","-","","0.47163586482306985","0.0005728243891427762","0.0008155248045101527","false","0.574185858054374","15","0.5771276595744681","1.9762995441754656","0.574185858054374","0.9626104690686608","0.09611676351936616","0.9626560019645504"
"comic-sweep-16","740","-","","0.4958367820679326","0.0007521364356567065","0.0006527525043789673","false","0.589280847610736","9","0.5904255319148937","1.7584092319011688","0.589280847610736","0.9360978925900748","0.19307845203286927","0.9361160338104774"
"swift-sweep-15","736","-","","0.4605914762963226","0.0004474343997335302","0.0009755038788425676","false","0.559173765082259","9","0.5611702127659575","2.238183488448461","0.559173765082259","0.9632902787219578","0.10002278911111796","0.963341960107704"
"fiery-sweep-14","353","-","","0.453690677955627","0.00016984630791205504","0.0013874698198271856","false","0.5766127333249064","1","0.5797872340425532","0.9413015047709148","0.5766127333249064","0.5757987763426241","0.8974735451781232","0.5755190211021467"
