"Name","Runtime","Notes","Tags","dropout","learning_rate","max_len","freeze_bert","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"cerulean-sweep-25","186","-","","0.3445557644375291","0.0008716546617440595","128","true","0.6132686869101688","13","0.6170212765957447","0.8669460713863373","0.6132686869101688","0.5873555404486743","0.8824376437975012","0.5869116412319794"
"playful-sweep-24","183","-","","0.4054977173927424","0.0007266844360573324","128","true","0.6076755340485274","13","0.6117021276595744","0.8767591913541158","0.6076755340485274","0.5581237253569","0.8993208421313245","0.5571324887972254"
"sweepy-sweep-23","82","-","","0.40527295347972087","0.0009237719526781952","64","true","0.5675732197052182","4","0.5771276595744681","0.9240719527006148","0.5675732197052182","0.5343303874915024","0.946478291698124","0.5274406202809491"
"grateful-sweep-22","182","-","","0.4961447683073408","0.00092448915395313","128","true","0.590655547780762","13","0.5957446808510638","0.8988069295883179","0.590655547780762","0.5520054384772264","0.920697878236356","0.5498741823546144"
"pretty-sweep-21","103","-","","0.3277492245993776","0.0005405077918901311","64","true","0.5958361655121642","10","0.6037234042553191","0.9016795456409454","0.5958361655121642","0.5642420122365738","0.9115571496279344","0.5623625861588417"
"toasty-sweep-20","115","-","","0.3059836663686622","0.0005698811999957604","64","true","0.6024211835271743","13","0.6117021276595744","0.885122741262118","0.6024211835271743","0.5887151597552686","0.8937261830205503","0.5871566994202104"
"gallant-sweep-19","157","-","","0.35466941289031606","0.0005936980602575544","128","true","0.6046234040945834","10","0.6143617021276596","0.8777963370084763","0.6046234040945834","0.5805574439157036","0.8917162068512129","0.5784146638677569"
"resilient-sweep-18","99","-","","0.4905919783613853","0.0006836575672635497","64","true","0.5806188966707713","9","0.5877659574468085","0.9131483733654022","0.5806188966707713","0.5547246770904147","0.9422874308150748","0.5452964648479222"
"stoic-sweep-17","123","-","","0.37719801633826666","0.0005439487479180603","64","true","0.5927124260349856","13","0.6037234042553191","0.8912996848424276","0.5927124260349856","0.5642420122365738","0.9072925539120384","0.5631465195250169"
"fragrant-sweep-16","269","-","","0.3473235249884068","0.0007427570846445743","128","true","0.6234682425158615","25","0.6329787234042553","0.8418305416901907","0.6234682425158615","0.6145479265805575","0.8374767873598181","0.6141738490168108"
"dashing-sweep-15","101","-","","0.4868039857054669","0.0006678828395190212","64","true","0.5840513407040285","9","0.5930851063829787","0.9111753354469936","0.5840513407040285","0.5499660095173351","0.9397483856781668","0.5439181682680155"
"fallen-sweep-14","215","-","","0.49515176015018375","0.000812196213949132","128","true","0.5937092272209007","18","0.6090425531914894","0.8705572138230006","0.5937092272209007","0.5744391570360299","0.9015804010888804","0.5738539567571828"
"soft-sweep-13","176","-","","0.367795251121764","0.0009938041334499005","128","true","0.6131865024019836","13","0.6196808510638298","0.8618427117665609","0.6131865024019836","0.583956492182189","0.883131909629573","0.581261214228664"
"legendary-sweep-12","194","-","","0.498530584194239","0.0005423229791183372","128","true","0.5888732159142925","14","0.5957446808510638","0.9019213219483694","0.5888732159142925","0.5479265805574439","0.9168749866278276","0.5456314493475426"
"sunny-sweep-11","117","-","","0.30028070029022413","0.0005459392416638231","64","true","0.5999425551816128","13","0.6063829787234043","0.8923423836628596","0.5999425551816128","0.5819170632222977","0.8953489492768827","0.5799455968525572"
"sparkling-sweep-10","111","-","","0.3498919296442445","0.0006148108636989269","64","true","0.5977529041306132","12","0.598404255319149","0.9151875029007592","0.5977529041306132","0.5887151597552686","0.8974537344082542","0.5856291127219498"
"wise-sweep-9","162","-","","0.49451150416375333","0.0009935125581713102","128","true","0.5890581584746575","10","0.598404255319149","0.9016072054704032","0.5890581584746575","0.5424881033310673","0.9217131902342256","0.5421350177028822"
"glowing-sweep-8","126","-","","0.30864623994005635","0.0006827818610280529","64","true","0.6013028893513094","16","0.6143617021276596","0.8724954674641291","0.6013028893513094","0.600951733514616","0.8621260433093362","0.5993157188654337"
"laced-sweep-7","182","-","","0.36947276077511104","0.0009231782015864372","128","true","0.6129287551647801","13","0.6170212765957447","0.8641456216573715","0.6129287551647801","0.5812372535690007","0.8859467039937559","0.5799505791364536"
"unique-sweep-6","212","-","","0.3723890766111186","0.0009288023414350516","128","true","0.6180642109660647","17","0.6303191489361702","0.8462118456761042","0.6180642109660647","0.5968728755948335","0.8546299804811892","0.5964760239169995"
"proud-sweep-5","214","-","","0.3539922009162952","0.0008756105768459746","128","true","0.6119247200990593","17","0.6223404255319149","0.8511718362569809","0.6119247200990593","0.619306594153637","0.8419559299945831","0.6188929604321108"
"rural-sweep-4","214","-","","0.3605281179922225","0.0009155622138388064","128","true","0.6170420276330971","17","0.6276595744680851","0.8519856184720993","0.6170420276330971","0.610469068660775","0.8481995100560396","0.6103575821276025"
"unique-sweep-3","99","-","","0.4792937524765365","0.0009483975558894148","64","true","0.5829163277778543","9","0.5904255319148937","0.9116006940603256","0.5829163277778543","0.5547246770904147","0.9425665062406788","0.5462310978453897"
"resilient-sweep-2","195","-","","0.3475399994169544","0.0009430440691729036","128","true","0.6112667893762582","14","0.6170212765957447","0.8680871377388636","0.6112667893762582","0.592114208021754","0.8721440654733906","0.5924603342933881"
"serene-sweep-1","180","-","","0.43333671754507475","0.0009871219998680897","128","true","0.5935181597715499","12","0.598404255319149","0.9017484287420908","0.5935181597715499","0.5669612508497621","0.9230611168819924","0.5629687184828794"
