"Name","Runtime","Notes","Tags","dropout","embed_dim","hidden_dim","learning_rate","max_len","model_name","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"eager-sweep-24","52","-","","0.588742243084956","100","128","0.000829617459964065","32","lstm","0.5330281412958578","20","0.5319148936170213","1.8463996996482213","0.5330281412958578","0.8823929299796057","0.33626168966293335","0.8846394870741937"
"lively-sweep-11","38","-","","0.5443308796516404","100","128","0.0007978747038835766","32","lstm","0.5161881467144879","15","0.523936170212766","1.4764500161012013","0.5161881467144879","0.8626784500339905","0.4016462998545688","0.8629622786468593"
"silvery-sweep-19","44","-","","0.5442664099579272","100","128","0.0008429979737445043","32","lstm","0.5122247284059581","14","0.5132978723404256","1.4274574716885884","0.5122247284059581","0.8987083616587356","0.3381647773734901","0.8998301198196595"
"eager-sweep-14","31","-","","0.5994340676823973","100","128","0.0008819973546953027","32","lstm","0.5119379327526915","14","0.5106382978723404","1.4290387878815334","0.5119379327526915","0.8572399728076139","0.4298870200696199","0.8590293989224728"
"glowing-sweep-18","37","-","","0.5204221364455212","100","128","0.0009159141865584736","32","lstm","0.5103928661707838","14","0.5079787234042553","1.6616591215133667","0.5103928661707838","0.9082256968048946","0.2872169636513876","0.9093970842072296"
"vibrant-sweep-12","45","-","","0.5075147796288371","100","128","0.0008458449301526997","32","lstm","0.5056789644362262","17","0.5053191489361702","1.7706115047136943","0.5056789644362262","0.938817131203263","0.2161438010794961","0.9395806751323948"
"brisk-sweep-13","45","-","","0.5615120402007312","100","128","0.0008588921526412321","32","lstm","0.5045387091948524","16","0.5186170212765957","1.6328365703423815","0.5045387091948524","0.8932698844323589","0.3261884034651777","0.8951271392056612"
"absurd-sweep-25","42","-","","0.5520590882310992","100","128","0.0008571623209217852","64","lstm","0.5026854596780824","19","0.5026595744680851","1.3297549734512966","0.5026854596780824","0.7987763426240653","0.563994089546411","0.8043012887611697"
"scarlet-sweep-10","34","-","","0.5375809975504118","100","128","0.0007478863126833945","32","lstm","0.5026301425426348","11","0.5053191489361702","1.3194144169489543","0.5026301425426348","0.8116927260367097","0.508599539813788","0.8125530472862353"
"good-sweep-16","42","-","","0.5470789081825039","100","128","0.0009387527782864296","32","lstm","0.5005407458868621","13","0.5","1.5903077721595764","0.5005407458868621","0.8925900747790618","0.3346110295666301","0.8941612896586499"
"royal-sweep-8","31","-","","0.4872747263255253","100","128","0.0008585120178323429","32","lstm","0.5000826444286797","9","0.5079787234042553","1.2653741737206776","0.5000826444286797","0.7912984364377974","0.5282393337591834","0.7868237636902838"
"fluent-sweep-9","40","-","","0.5983124380070393","100","128","0.0007905219374224944","32","lstm","0.49765876499853673","17","0.4973404255319149","1.743804097175598","0.49765876499853673","0.9163834126444595","0.2719802041740521","0.9176963566229164"
"flowing-sweep-17","41","-","","0.5718315981572544","100","128","0.0008848148743835557","32","lstm","0.497106327305362","13","0.4973404255319149","1.6938511828581493","0.497106327305362","0.8796736913664174","0.3474362215594105","0.8813061549565694"
"comfy-sweep-7","44","-","","0.5122540090046023","100","64","0.0007071527765984515","32","lstm","0.4958214690835012","18","0.4946808510638298","1.693544978896777","0.4958214690835012","0.910944935418083","0.3109530889145706","0.911649093599704"
"wobbly-sweep-20","39","-","","0.5845506578751593","100","128","0.000852503924001444","32","lstm","0.49207809139911146","15","0.4920212765957447","1.4110016127427418","0.49207809139911146","0.893949694085656","0.3414521672479484","0.89549352941822"
"clean-sweep-21","39","-","","0.4695866529767323","100","128","0.0009593723927169152","32","lstm","0.4878659154491407","11","0.4867021276595745","1.3620018512010574","0.4878659154491407","0.8599592114208022","0.43447371669437573","0.8604637549191055"
"misty-sweep-22","37","-","","0.5931873953842424","100","128","0.0007552790032918986","32","lstm","0.48755593955972065","16","0.4920212765957447","1.455486183365186","0.48755593955972065","0.910944935418083","0.3001286061885564","0.9122598378522756"
"chocolate-sweep-15","28","-","","0.5370652415473054","100","64","0.0009355671066002758","32","lstm","0.48058773058773063","9","0.48404255319148937","1.115350807706515","0.48058773058773063","0.6825288919102651","0.7670516708622808","0.6687780790864476"
"quiet-sweep-23","26","-","","0.5702449221675795","100","128","0.000998781712529273","32","lstm","0.47902028690921455","6","0.5212765957446809","1.10525244474411","0.47902028690921455","0.6478585995921142","0.7754247810529626","0.609308016054929"
"balmy-sweep-6","20","-","","0.4708839023424758","50","32","0.0007020736919892063","32","lstm","0.3978734876824048","4","0.42819148936170215","1.0787628988424938","0.3978734876824048","0.4201223657375935","1.0811883470286494","0.39596073144757743"
"sparkling-sweep-5","28","-","","0.5063742888526942","50","32","0.0005898126844624821","32","lstm","0.38543479227497074","6","0.43882978723404253","1.0684296290079751","0.38543479227497074","0.424881033310673","1.0735082574512649","0.4078503270007521"
"denim-sweep-2","27","-","","0.3732618853705365","50","64","0.0008791017046851401","64","lstm","0.36422408457918926","6","0.42819148936170215","1.0788432757059734","0.36422408457918926","0.47586675730795375","1.0024997825207915","0.4765188544246136"
"royal-sweep-4","29","-","","0.5723428785788363","50","64","0.0006391245294385598","64","lstm","0.3523535699122209","6","0.4308510638297872","1.06351342300574","0.3523535699122209","0.4051665533650578","1.050774872303009","0.4052411927486767"
"dandy-sweep-3","32","-","","0.5501712473442799","50","64","0.0007230332512383351","128","lstm","0.22908083679874816","12","0.3351063829787234","1.105596015850703","0.22908083679874816","0.3609789259007478","1.075554598932681","0.35641080537742104"
"hopeful-sweep-1","26","-","","0.4041510799015353","50","128","0.000516029464333897","128","lstm","0.21837944476946175","5","0.32978723404255317","1.0973162949085236","0.21837944476946175","0.3691366417403127","1.0896722104238428","0.3264282501124606"
