"Name","Runtime","Notes","Tags","dropout","lr_head","freeze_resnet","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"graceful-sweep-25","626","-","","0.39193430429559456","0.0009340777220351788","true","0.5475004409837144","6","0.550531914893617","0.9638619720935822","0.5475004409837144","0.5288919102651257","0.9887112081050872","0.5264589733164879"
"volcanic-sweep-24","887","-","","0.36033955024165576","0.0006208147292250361","true","0.5469312443884317","9","0.5478723404255319","0.9729992896318436","0.5469312443884317","0.5268524813052345","0.9686635641948036","0.5237607051431282"
"confused-sweep-23","363","-","","0.3282735811629732","0.0007000250444446401","true","0.5273942969518192","1","0.5319148936170213","0.9913420130809149","0.5273942969518192","0.4520734194425561","1.0351827585178872","0.4478186596830665"
"classic-sweep-22","595","-","","0.31902264900395344","0.0006640181856800512","true","0.5305493544549128","6","0.5372340425531915","0.9601734479268392","0.5305493544549128","0.5186947654656696","0.97434006696162","0.5162411590589073"
"apricot-sweep-21","740","-","","0.41073709489165067","0.0015816482874327403","true","0.5505912554417446","9","0.550531914893617","0.9612103750308356","0.5505912554417446","0.513256288239293","0.9774941296681112","0.5097050047907952"
"astral-sweep-20","601","-","","0.4554062420056523","0.00131525849646558","true","0.5268835944907567","6","0.5398936170212766","0.9669093092282612","0.5268835944907567","0.4989802855200544","0.9939950911895088","0.49493479662211987"
"fiery-sweep-19","594","-","","0.43934154890209526","0.0012848477965406975","true","0.5361663445440349","6","0.5425531914893617","0.9683821201324464","0.5361663445440349","0.5139360978925901","0.987884126279665","0.5118857124429953"
"fresh-sweep-18","598","-","","0.4030899278181913","0.0006353223201527243","true","0.5310007557215042","6","0.5372340425531915","0.9690421223640442","0.5310007557215042","0.513256288239293","0.9832077337347944","0.5087334570414784"
"youthful-sweep-17","349","-","","0.3125281021926128","0.001143242666575011","true","0.5518332893695596","1","0.5558510638297872","0.98618483543396","0.5518332893695596","0.46091094493541807","1.0246233253375343","0.4525393809097837"
"devout-sweep-16","595","-","","0.4905521063546304","0.001277545890459316","true","0.5402269716925467","6","0.5425531914893617","0.9828737874825796","0.5402269716925467","0.495581237253569","0.9981636158798052","0.4943459244203625"
"robust-sweep-15","1278","-","","0.4306825397891027","0.0011506293234422134","true","0.5643466422161096","19","0.5691489361702128","0.9596614092588424","0.5643466422161096","0.566281441196465","0.9040459653605586","0.564171326283888"
"trim-sweep-14","793","-","","0.44256051244977673","0.001837254819516263","true","0.5446676264476779","10","0.5478723404255319","0.9668884525696436","0.5446676264476779","0.495581237253569","0.9646126303983772","0.4957498707506332"
"graceful-sweep-13","601","-","","0.3230692720436047","0.0011041512654944928","true","0.5528255528255528","6","0.5585106382978723","0.9441435386737188","0.5528255528255528","0.5329707681849082","0.9707521640736124","0.5299705090104826"
"trim-sweep-12","491","-","","0.472505286421627","0.001845997926351242","true","0.5196878501599532","3","0.526595744680851","0.9794859488805135","0.5196878501599532","0.4697484704282801","1.0190116711284802","0.46502489181155165"
"comic-sweep-11","318","-","","0.423415577623654","0.0006416299442595764","true","0.5002256738142526","0","0.5","1.041427845756213","0.5002256738142526","0.3997280761386812","1.1088230285955512","0.39747814319602287"
"vital-sweep-10","773","-","","0.49970771313707185","0.0015413940313926185","true","0.5162334135695857","9","0.5186170212765957","0.9857123891512553","0.5162334135695857","0.5071380013596193","1.0057448420835575","0.5030160671224736"
"smooth-sweep-9","687","-","","0.4126750275630995","0.0016262265815574451","true","0.5354852947007821","6","0.5398936170212766","0.963636189699173","0.5354852947007821","0.512576478585996","0.9900077024231786","0.509869745879172"
"azure-sweep-8","1011","-","","0.35371395263287947","0.001489331194890253","true","0.5529661869116621","13","0.5531914893617021","0.9622638871272404","0.5529661869116621","0.5730795377294358","0.9080173554627792","0.5718261323517287"
"deep-sweep-7","953","-","","0.4042235335872173","0.0007049167159990107","true","0.5371859038525705","12","0.5398936170212766","0.9676771561304728","0.5371859038525705","0.5152957171991842","0.973692237035088","0.5142370833905436"
"sleek-sweep-6","813","-","","0.3874514615458736","0.0011580540887729872","true","0.5424099582202696","9","0.5425531914893617","0.9669320086638132","0.5424099582202696","0.5200543847722637","0.971075942982798","0.517310200341058"
"firm-sweep-5","376","-","","0.33653959255305055","0.0006538768738081745","true","0.5380663211247186","1","0.5452127659574468","0.9942115992307664","0.5380663211247186","0.4772263766145479","1.0350346344968546","0.47257410888182566"
"lyric-sweep-4","982","-","","0.4827436811219522","0.001783995298232424","true","0.542658461986193","12","0.5478723404255319","0.9704270859559376","0.542658461986193","0.5057783820530252","0.9985428128553472","0.5038900533604891"
"decent-sweep-3","330","-","","0.4428099886543736","0.0009226921162894412","true","0.5199189152976059","0","0.5292553191489362","1.026248166958491","0.5199189152976059","0.4004078857919782","1.1104080923225568","0.39590669768718784"
"lucky-sweep-2","488","-","","0.4825072692765521","0.0017018265233583688","true","0.5218414077523875","3","0.5292553191489362","0.9892948071161906","0.5218414077523875","0.47178789938817134","1.0175018764060475","0.46400077956846975"
"vibrant-sweep-1","433","-","","0.4590688288268685","0.001042645173631617","true","0.4934965482605036","0","0.5079787234042553","1.0163922607898712","0.4934965482605036","0.3990482664853841","1.1163669954175537","0.3965949438458995"
