"Name","Runtime","Notes","Tags","dropout","hidden_dim","learning_rate","best_macro_f1","epoch","test/accuracy","test/loss","test/macro_f1","train/accuracy","train/loss","train/macro_f1"
"vague-sweep-3","14","-","","0.3219765625991933","256","0.0007438586225584212","0.6860427731126088","1","0.6914893617021277","0.7650666683912277","0.6860427731126088","0.743031951053705","0.6188290132128674","0.7429269909806823"
"neat-sweep-9","24","-","","0.36998634811832465","128","0.000820977426136826","0.6833790607208181","6","0.6861702127659575","0.7759902576605479","0.6833790607208181","0.7858599592114208","0.5325784806324088","0.7860326365423024"
"rural-sweep-23","23","-","","0.3243796897892195","128","0.0005366155637226269","0.682916157151177","4","0.6861702127659575","0.7603572010993958","0.682916157151177","0.7545887151597552","0.5724430058313452","0.754442253326577"
"young-sweep-19","21","-","","0.4672329507948391","256","0.0009366649384685276","0.678835933026474","5","0.6808510638297872","0.792433018485705","0.678835933026474","0.7824609109449354","0.5255274649547494","0.7832283794186429"
"stellar-sweep-20","24","-","","0.41363345897238973","256","0.0007477920160297176","0.6778106435049667","3","0.6781914893617021","0.7757826348145803","0.6778106435049667","0.7668252889191026","0.5623325264972189","0.7672193691782069"
"vibrant-sweep-25","26","-","","0.3232327013348777","128","0.0005414437338079173","0.675921895781214","4","0.6781914893617021","0.7606722215811411","0.675921895781214","0.7566281441196465","0.573114350438118","0.7569364383662496"
"fragrant-sweep-8","16","-","","0.3144249873283718","128","0.0006047397915588624","0.6755363155363155","1","0.6808510638297872","0.7753650322556496","0.6755363155363155","0.7131203263086335","0.6650315568498943","0.7132242593235502"
"neat-sweep-12","21","-","","0.46691965395975216","256","0.0005903388075069613","0.674887861687233","4","0.675531914893617","0.7796260416507721","0.674887861687233","0.7634262406526172","0.5561424746461536","0.763360476606686"
"sparkling-sweep-16","17","-","","0.4570715638615383","512","0.0005597285210221821","0.672896816868448","3","0.6808510638297872","0.763256107767423","0.672896816868448","0.761386811692726","0.5639022128737491","0.7611360570851472"
"dandy-sweep-21","12","-","","0.4301925705696582","256","0.0007290403198109722","0.6723184380785954","0","0.6808510638297872","0.7845133890708288","0.6723184380785954","0.6485384092454113","0.8105573278406392","0.6456168626308131"
"vibrant-sweep-10","13","-","","0.3782335561842201","512","0.000757847049595112","0.672130937006523","1","0.675531914893617","0.7605089495579401","0.672130937006523","0.7301155676410604","0.6159014131711877","0.7305737916302277"
"drawn-sweep-1","17","-","","0.3016399755818876","512","0.000548389778650696","0.6719318210555598","2","0.6728723404255319","0.779986118276914","0.6719318210555598","0.7552685248130524","0.5749923411918723","0.7551476006723138"
"dazzling-sweep-2","16","-","","0.42128570580444824","256","0.0008749116623149531","0.6719207722694743","2","0.6702127659574468","0.7849665284156799","0.6719207722694743","0.752549286199864","0.5808310754921125","0.7526547336206125"
"serene-sweep-11","20","-","","0.3422387339369502","256","0.0008580658437070906","0.6704241525670098","3","0.6781914893617021","0.7731719066699346","0.6704241525670098","0.7545887151597552","0.5667362102995748","0.7546742978261572"
"toasty-sweep-17","18","-","","0.397612579594846","512","0.0008710660296416283","0.669329224375096","3","0.6781914893617021","0.7792985637982687","0.669329224375096","0.7743031951053705","0.5405071708171264","0.7749391321917912"
"smooth-sweep-24","22","-","","0.3801578798438533","256","0.0006588084462665488","0.6685640484249555","7","0.6702127659574468","0.7946726928154627","0.6685640484249555","0.7946974847042828","0.49784759075745294","0.7952926831374704"
"divine-sweep-22","17","-","","0.3946055910294424","128","0.00097009576592098","0.6682691101033092","5","0.6728723404255319","0.784230038523674","0.6682691101033092","0.7729435757987764","0.5407469862181208","0.773388679431909"
"chocolate-sweep-15","17","-","","0.4237798042662267","256","0.0008394003523408127","0.6676086294762587","1","0.6781914893617021","0.7604470451672872","0.6676086294762587","0.7321549966009517","0.6383815822393998","0.7314986469765845"
"legendary-sweep-4","21","-","","0.3130283791216038","512","0.0005813399732775889","0.6672359037475397","2","0.6675531914893617","0.7797695199648539","0.6672359037475397","0.7552685248130524","0.5802309506613276","0.7552217827381197"
"fresh-sweep-14","16","-","","0.3443834217971151","512","0.0007217894743519692","0.6660652771668629","4","0.6702127659574468","0.7797022958596548","0.6660652771668629","0.787899388171312","0.5199309924374456","0.7880995427496212"
"jumping-sweep-18","17","-","","0.4537602678245823","512","0.0009342729638322804","0.664694874630439","2","0.6675531914893617","0.7746568272511164","0.664694874630439","0.7505098572399728","0.5853259699500125","0.7505812735294445"
"glad-sweep-7","21","-","","0.3437538730497786","512","0.0005355861189598839","0.6636356146533652","2","0.6648936170212766","0.7696801473697027","0.6636356146533652","0.7477906186267845","0.5857023214516432","0.7484434899295581"
"graceful-sweep-5","13","-","","0.31788537937765626","256","0.0007490152433459098","0.6606551488679785","2","0.6648936170212766","0.7896943787733713","0.6606551488679785","0.760707002039429","0.5763016654097516","0.7608661501485138"
"whole-sweep-13","18","-","","0.32507031599919206","512","0.0009726634205006488","0.6548544582643242","1","0.6569148936170213","0.7998810956875483","0.6548544582643242","0.7369136641740313","0.6107847567485727","0.7373656272944613"
"fiery-sweep-6","11","-","","0.48930032196426154","512","0.0008093389838246808","0.6539818548387097","0","0.6542553191489362","0.8128321766853333","0.6539818548387097","0.6498980285520054","0.7895579720320909","0.6464700064069303"
